eval_number,altitude_km,inclination_deg,raan_deg,true_anomaly_deg,score,objective_value,sunlight_fraction,eclipse_fraction,umbra_fraction,penumbra_fraction
26,35786.0,82.79451302315428,295.9882087692918,67.55630135565293,0.928538812785388,-0.928538812785388,0.9954337899543378,0.0045662100456621,0.0030821917808219177,0.0014840182648401827
27,35786.0,114.42246338492126,1.0360350083385867,144.36047667519819,0.9331050228310502,-0.9331050228310502,0.9970319634703196,0.0029680365296803654,0.0027397260273972603,0.00022831050228310502
28,35786.0,90.12272756451117,145.2086685222889,245.0262107393766,0.9264840182648401,-0.9264840182648401,0.9955479452054794,0.004452054794520548,0.0036529680365296802,0.0007990867579908676
29,35786.0,46.70040098686169,124.87245166389256,143.41614140258886,0.9232876712328767,-0.9232876712328767,0.9946347031963471,0.005365296803652968,0.003995433789954338,0.0013698630136986301
30,35786.0,53.28735031974114,169.78365867351474,44.11525443314858,0.9248858447488584,-0.9248858447488584,0.9952054794520548,0.004794520547945206,0.0038812785388127853,0.0009132420091324201
31,35786.0,63.39755136513626,189.05301819378678,245.9705460119859,0.9242009132420091,-0.9242009132420091,0.9950913242009133,0.004908675799086758,0.003995433789954338,0.0009132420091324201
32,35786.0,112.11899682758916,107.09075378921526,113.04795166346184,0.9248858447488584,-0.9248858447488584,0.9954337899543378,0.0045662100456621,0.003995433789954338,0.0005707762557077625
33,35786.0,105.42674456597646,32.64581989358433,237.16629454169606,0.9237442922374429,-0.9237442922374429,0.9950913242009133,0.004908675799086758,0.00410958904109589,0.0007990867579908676
34,35786.0,49.49005421015134,183.55633814427716,210.18365310658078,0.9253424657534245,-0.9253424657534245,0.9954337899543378,0.0045662100456621,0.0038812785388127853,0.0006849315068493151
35,35786.0,77.2748781071407,22.796233449632837,26.030134025867795,0.9257990867579907,-0.9257990867579907,0.995662100456621,0.0043378995433789955,0.0038812785388127853,0.00045662100456621003
36,35786.0,105.42674456597646,29.323437878062464,214.10168588600823,0.9267123287671232,-0.9267123287671232,0.9954337899543378,0.0045662100456621,0.003538812785388128,0.0010273972602739725
