t_seconds,date,x_m,y_m,z_m,status,earth_umbra,earth_penumbra,moon_umbra,moon_penumbra,any_umbra,any_penumbra,any_eclipse,earth_umbra_g,earth_penumbra_g,moon_umbra_g,moon_penumbra_g
81460.0,2024-06-21T22:37:40.000Z,6921298.9868884515,145675.1070677588,-1036532.2461350095,full_sunlight,False,False,False,False,False,False,False,0.37752446122033895,0.3683684078030592,3.049034911395646,3.0398788579783664
81470.0,2024-06-21T22:37:50.000Z,6932180.318814577,135282.84231852434,-962587.4401913059,full_sunlight,False,False,False,False,False,False,False,0.38035138109332883,0.371195326552278,3.0488686570210484,3.0397126024799976
81480.0,2024-06-21T22:38:00.000Z,6942256.069581292,124874.85649686329,-888530.7730048547,full_sunlight,False,False,False,False,False,False,False,0.3831850711764018,0.3740290155091874,3.048703046772731,3.0395469911055164
81490.0,2024-06-21T22:38:10.000Z,6951525.068296549,114452.35910349678,-814370.8506204662,full_sunlight,False,False,False,False,False,False,False,0.38602521922567123,0.37686916243003865,3.048538096042208,3.039382039246576
81500.0,2024-06-21T22:38:20.000Z,6959986.237820044,104016.56132556121,-740116.291082419,full_sunlight,False,False,False,False,False,False,False,0.3888715120042593,0.3797154540780926,3.048373820056637,3.03921776213047
81510.0,2024-06-21T22:38:30.000Z,6967638.59488843,93568.67589581624,-665775.7234326724,full_sunlight,False,False,False,False,False,False,False,0.39172363530519866,0.38256757624652044,3.0482102338792862,3.0390541748206084
81520.0,2024-06-21T22:38:40.000Z,6974481.250229606,83109.91695167318,-591357.7867078019,full_sunlight,False,False,False,False,False,False,False,0.39458127397452775,0.3854252137814996,3.048047352410041,3.038891292217013
81530.0,2024-06-21T22:38:50.000Z,6980513.408665999,72641.49989419774,-516871.12893575063,full_sunlight,False,False,False,False,False,False,False,0.3974441119345256,0.3882880506054482,3.0478851903859194,3.0387291290568417
81540.0,2024-06-21T22:39:00.000Z,6985734.36920703,62164.64124675931,-442324.40613006806,full_sunlight,False,False,False,False,False,False,False,0.40031183220720423,0.3911557697405176,3.0477237623816023,3.0385676999149154
81550.0,2024-06-21T22:39:10.000Z,6990143.525130522,51680.558513770586,-367726.2812847889,full_sunlight,False,False,False,False,False,False,False,0.40318411693793527,0.39402805333221874,3.0475630828100138,3.0384070192042976
81560.0,2024-06-21T22:39:20.000Z,6993740.364053258,41190.4700390921,-293085.42336693,full_sunlight,False,False,False,False,False,False,False,0.4060606474193562,0.39690458267332906,3.047403165922853,3.0382471011768257
81570.0,2024-06-21T22:39:30.000Z,6996524.467990474,30695.594864560426,-218410.50630986562,full_sunlight,False,False,False,False,False,False,False,0.4089411041154262,0.39978503822794736,3.047244025811229,3.0380879599237507
81580.0,2024-06-21T22:39:40.000Z,6998495.513404479,20197.152588214027,-143710.20800455206,full_sunlight,False,False,False,False,False,False,False,0.4118251666857755,0.40266909965584374,3.0470856764062297,3.037929609376298
81590.0,2024-06-21T22:39:50.000Z,6999653.271242217,9696.363222675733,-68993.20929186672,full_sunlight,False,False,False,False,False,False,False,0.4147125140102168,0.40555644583697115,3.046928131479582,3.0377720633063365
81600.0,2024-06-21T22:40:00.000Z,6999997.606961907,-805.5529467343047,5731.8070469706545,full_sunlight,False,False,False,False,False,False,False,0.41760282421356437,0.40844675489628396,3.0467714046442667,3.037615335326986
81610.0,2024-06-21T22:40:10.000Z,6999528.480548669,-11307.37550369589,80456.15729862668,full_sunlight,False,False,False,False,False,False,False,0.42049577469063776,0.41133970422874183,3.0466155093551657,3.03745943889327
81620.0,2024-06-21T22:40:20.000Z,6998245.946519173,-21807.884042822807,155171.15782756722,full_sunlight,False,False,False,False,False,False,False,0.4233910421315782,0.41423497052462654,3.046460458909758,3.0373043873028065
81630.0,2024-06-21T22:40:30.000Z,6996150.15391531,-32305.858311374064,229868.12608438544,full_sunlight,False,False,False,False,False,False,False,0.4262883025473615,0.41713222979505404,3.04630626644876,3.0371501936964527
81640.0,2024-06-21T22:40:40.000Z,6993241.346286863,-42800.078351168864,304538.38161557895,full_sunlight,False,False,False,False,False,False,False,0.42918723129564035,0.42003115739781755,3.046152944956843,3.0369968710590203
81650.0,2024-06-21T22:40:50.000Z,6989519.8616632195,-53289.324640245904,379173.2470715087,full_sunlight,False,False,False,False,False,False,False,0.4320875031067997,0.42293142806344236,3.046000507263339,3.036844432219982
81660.0,2024-06-21T22:41:00.000Z,6984986.132514063,-63772.3782346934,453764.0492155715,full_sunlight,False,False,False,False,False,False,False,0.43498879211034697,0.4258327159215763,3.045848966042932,3.0366928898541614
81670.0,2024-06-21T22:41:10.000Z,6979640.685699149,-74248.02091020443,528302.1199314186,full_sunlight,False,False,False,False,False,False,False,0.4378907718615311,0.42873469452760865,3.0456983338163957,3.0365422564824733
81680.0,2024-06-21T22:41:20.000Z,6973484.142407063,-84715.03530368689,602778.7972305635,full_sunlight,False,False,False,False,False,False,False,0.4407931153682834,0.43163703688961136,3.0455486229513253,3.036392544472653
81690.0,2024-06-21T22:41:30.000Z,6966517.218083011,-95172.20505477344,677185.4262592768,full_sunlight,False,False,False,False,False,False,False,0.4436954951184686,0.4345394154955893,3.045399845662881,3.036243766040001
81700.0,2024-06-21T22:41:40.000Z,6958740.722345734,-105618.3149470768,751513.3603036703,full_sunlight,False,False,False,False,False,False,False,0.4465975831073807,0.4374415023409766,3.0452520140145385,3.0360959332481343
81710.0,2024-06-21T22:41:50.000Z,6950155.55889335,-116052.15104951893,825753.9617953063,full_sunlight,False,False,False,False,False,False,False,0.4494990508656042,0.4403429689564982,3.0451051399188453,3.0359490580097392
81720.0,2024-06-21T22:42:00.000Z,6940762.725398419,-126472.50085729061,899898.603314177,full_sunlight,False,False,False,False,False,False,False,0.45239956948713245,0.4432434864362874,3.0449592351381916,3.0358031520873463
81730.0,2024-06-21T22:42:10.000Z,6930563.313391915,-136878.15343286525,973938.6685920702,full_sunlight,False,False,False,False,False,False,False,0.45529880965785713,0.44614272546637596,3.0448143112855806,3.0356582270940993
81740.0,2024-06-21T22:42:20.000Z,6919558.508136474,-147267.89954661083,1047865.5535130745,full_sunlight,False,False,False,False,False,False,False,0.4581964416843054,0.44904035635343065,3.044670379825419,3.0355142944945444
81750.0,2024-06-21T22:42:30.000Z,6907749.588488556,-157640.53181742277,1121670.6671142352,full_sunlight,False,False,False,False,False,False,False,0.46109213552278017,0.4519360490538944,3.04452745207428,3.035371365605395
81760.0,2024-06-21T22:42:40.000Z,6895137.926749944,-167994.8448529229,1195345.432583121,full_sunlight,False,False,False,False,False,False,False,0.46398556080874576,0.45482947320337086,3.0443855392017234,3.035229451596349
81770.0,2024-06-21T22:42:50.000Z,6881724.98850814,-178329.63538964622,1268881.288255305,full_sunlight,False,False,False,False,False,False,False,0.4668763868866246,0.4577202981464219,3.0442446522310815,3.035088563490879
81780.0,2024-06-21T22:43:00.000Z,6867512.332466191,-188643.70243276158,1342269.6886085288,full_sunlight,False,False,False,False,False,False,False,0.4697642828398475,0.4606081929666176,3.0441048020402453,3.0349487121670156
81790.0,2024-06-21T22:43:10.000Z,6852501.610261411,-198935.84739574694,1415502.1052565442,full_sunlight,False,False,False,False,False,False,False,0.47264891752132415,0.46349282651700646,3.0439659993624923,3.0348099083581745
81800.0,2024-06-21T22:43:20.000Z,6836694.566273592,-209204.87423956717,1488570.0279394134,full_sunlight,False,False,False,False,False,False,False,0.4755299595841719,0.4663738674508445,3.0438282547872997,3.034672162653972
81810.0,2024-06-21T22:43:30.000Z,6820093.037422138,-219449.58961177283,1561464.9655132496,full_sunlight,False,False,False,False,False,False,False,0.4784070775128705,0.46925098425275025,3.0436915787611247,3.0345354855010043
81820.0,2024-06-21T22:43:40.000Z,6802698.952952762,-229668.8029850703,1634178.4469361943,full_sunlight,False,False,False,False,False,False,False,0.48127993965468463,0.4721238452701265,3.0435559815882662,3.0343998872037083
81830.0,2024-06-21T22:43:50.000Z,6784514.334213118,-239861.3267957794,1706702.0222535941,full_sunlight,False,False,False,False,False,False,False,0.4841482142515072,0.47499211874500413,3.043421473431643,3.03426537792514
81840.0,2024-06-21T22:44:00.000Z,6765541.294418055,-250025.97658174476,1779027.263579291,full_sunlight,False,False,False,False,False,False,False,0.48701156947200364,0.4778554728461861,3.04328806431365,3.0341319676878324
81850.0,2024-06-21T22:44:10.000Z,6745782.038403985,-260161.5711200213,1851145.7660753068,full_sunlight,False,False,False,False,False,False,False,0.48986967344413207,0.48071357570176826,3.0431557641169458,3.0339996663745823
81860.0,2024-06-21T22:44:20.000Z,6725238.862372578,-270266.9325641828,1923049.1489288425,full_sunlight,False,False,False,False,False,False,False,0.49272219428803976,0.48356609543203466,3.043024582585316,3.033868483729311
81870.0,2024-06-21T22:44:30.000Z,6703914.153624101,-280340.8865811049,1994729.0563255406,full_sunlight,False,False,False,False,False,False,False,0.4955688001492602,0.4864127001826555,3.042894529324471,3.033738429357866
81880.0,2024-06-21T22:44:40.000Z,6681810.390279782,-290382.2624875394,2066177.1584212629,full_sunlight,False,False,False,False,False,False,False,0.49840915923235124,0.48925305815832515,3.042765613802883,3.0336095127288565
81890.0,2024-06-21T22:44:50.000Z,6658930.140994056,-300389.8933860519,2137385.1523093353,full_sunlight,False,False,False,False,False,False,False,0.5012429398348144,0.49208683765668093,3.0426378453526217,3.0334817431744883
81900.0,2024-06-21T22:45:00.000Z,6635276.064655825,-310362.61630073184,2208344.762986176,full_sunlight,False,False,False,False,False,False,False,0.5040698103814497,0.49491370710265875,3.0425112331701665,3.0333551298913757
81910.0,2024-06-21T22:45:10.000Z,6610850.9100797195,-320299.27231223485,2279047.7443121723,full_sunlight,False,False,False,False,False,False,False,0.5068894394590227,0.49773333508315915,3.042385786317258,3.0332296819413944
