0,1,2,table_number,source
"Changua County, Taiwan",1.16,1.13,3,Google Data Centers PUE page
"Council Bluffs, Iowa",1.14,1.11,3,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.10,1.08,3,Google Data Centers PUE page
"Douglas County, Georgia",1.12,1.09,3,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,3,Google Data Centers PUE page
"Eemshaven, Netherlands",1.08,1.07,3,Google Data Centers PUE page
"Fredericia, Denmark",1.06,1.07,3,Google Data Centers PUE page
"Hamina, Finland",1.10,1.10,3,Google Data Centers PUE page
"Henderson, Nevada",1.12,1.09,3,Google Data Centers PUE page
"Inzai, Japan",1.14,1.14,3,Google Data Centers PUE page
"Jackson County, Alabama",1.13,1.10,3,Google Data Centers PUE page
"Lenoir, North Carolina",1.12,1.10,3,Google Data Centers PUE page
"Loudoun County, Virginia",1.10,1.08,3,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.10,1.08,3,Google Data Centers PUE page
"Mayes County, Oklahoma",1.15,1.12,3,Google Data Centers PUE page
"Midlothian, Texas",1.13,1.10,3,Google Data Centers PUE page
"Montgomery County, Tennessee",1.10,1.10,3,Google Data Centers PUE page
"Omaha, Nebraska",1.04,,3,Google Data Centers PUE page
"Papillion, Nebraska",1.11,1.09,3,Google Data Centers PUE page
"Quilicura, Chile",1.08,1.09,3,Google Data Centers PUE page
Singapore,1.12,1.13,3,Google Data Centers PUE page
Singapore (2nd facility),1.15,1.14,3,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.08,3,Google Data Centers PUE page
"Storey County, Nevada",1.22,1.15,3,Google Data Centers PUE page
"The Dalles, Oregon",1.11,1.10,3,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.08,1.07,3,Google Data Centers PUE page
"The Dalles, Oregon (3rd facility)",1.09,,3,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,4,Google Data Centers PUE page
Fleet,1.08,1.09,4,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,4,Google Data Centers PUE page
"Berkeley County, South Carolina",1.08,1.09,4,Google Data Centers PUE page
"Bristow, Virginia",1.07,1.09,4,Google Data Centers PUE page
"Central Ohio (Columbus), Ohio",1.05,1.06,4,Google Data Centers PUE page
"Central Ohio (Lancaster), Ohio",1.04,1.04,4,Google Data Centers PUE page
"Central Ohio (New Albany), Ohio",1.06,1.06,4,Google Data Centers PUE page
"Changua County, Taiwan",1.12,1.13,4,Google Data Centers PUE page
"Council Bluffs, Iowa",1.09,1.11,4,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.08,4,Google Data Centers PUE page
"Douglas County, Georgia",1.07,1.09,4,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,4,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,4,Google Data Centers PUE page
"Fredericia, Denmark",1.06,1.07,4,Google Data Centers PUE page
"Hamina, Finland",1.09,1.10,4,Google Data Centers PUE page
"Henderson, Nevada",1.08,1.09,4,Google Data Centers PUE page
"Inzai, Japan",1.07,1.11,4,Google Data Centers PUE page
