t_seconds,date,x_m,y_m,z_m,status,earth_umbra,earth_penumbra,moon_umbra,moon_penumbra,any_umbra,any_penumbra,any_eclipse,earth_umbra_g,earth_penumbra_g,moon_umbra_g,moon_penumbra_g
68400.0,2026-01-01T19:00:00.000Z,17544933.773342438,10362957.203301474,6459788.654938526,full_sunlight,False,False,False,False,False,False,False,0.8633931088293747,0.8539307826774851,2.77701619603349,2.7675538698816005
68700.0,2026-01-01T19:05:00.000Z,16879774.999312475,11469962.658868713,6360106.7943321,full_sunlight,False,False,False,False,False,False,False,0.8074109931599105,0.7979487362982189,2.775168081929641,2.765705825067949
69000.0,2026-01-01T19:10:00.000Z,16152634.542704074,12534850.967564013,6237064.18774754,full_sunlight,False,False,False,False,False,False,False,0.7517047303114168,0.7422425404790858,2.773156986606069,2.7636947967737377
69300.0,2026-01-01T19:15:00.000Z,15366180.970372088,13553710.781545863,6091112.209297862,full_sunlight,False,False,False,False,False,False,False,0.6963331528052983,0.6868710274944325,2.7709939476804832,2.7615318223696175
69600.0,2026-01-01T19:20:00.000Z,14523300.74970958,14522799.551636763,5922786.391510841,full_sunlight,False,False,False,False,False,False,False,0.6413671933459386,0.6319051298107763,2.768690885249755,2.759228821714593
69900.0,2026-01-01T19:25:00.000Z,13627087.67715748,15438557.282670332,5732704.468117509,full_sunlight,False,False,False,False,False,False,False,0.586893559958217,0.5774315552251905,2.7662605399229636,2.756798535189937
70200.0,2026-01-01T19:30:00.000Z,12680831.543752806,16297619.622411884,5521564.114774854,full_sunlight,False,False,False,False,False,False,False,0.5330196508258455,0.5235577017044762,2.76371640201997,2.754254452898601
70500.0,2026-01-01T19:35:00.000Z,11688006.078826882,17096830.23576358,5290140.395840456,full_sunlight,False,False,False,False,False,False,False,0.47988019137309734,0.47041829446768335,2.7610726326689967,2.751610735763583
70800.0,2026-01-01T19:40:00.000Z,10652256.215648629,17833252.41851371,5039282.926399219,full_sunlight,False,False,False,False,False,False,False,0.42764626386715504,0.4181844155892083,2.7583439776840306,2.748882129406084
71100.0,2026-01-01T19:45:00.000Z,9577384.725341182,18504179.9076119,4769912.759795623,full_sunlight,False,False,False,False,False,False,False,0.37653764113501,0.3670758377164005,2.7555456752328635,2.7460838718142537
71400.0,2026-01-01T19:50:00.000Z,8467338.267776527,19107146.847835343,4483019.011944092,full_sunlight,False,False,False,False,False,False,False,0.3268396077121719,0.3173778452189282,2.75269335841634,2.7432315959230964
71700.0,2026-01-01T19:55:00.000Z,7326192.910354325,19639936.877755526,4179655.2346712975,full_sunlight,False,False,False,False,False,False,False,0.27892565280921716,0.2694639271559333,2.749802953966313,2.740341228313029
72000.0,2026-01-01T20:00:00.000Z,6158139.16759597,20100591.30110169,3860935.5512834163,full_sunlight,False,False,False,False,False,False,False,0.23328725294528854,0.22382555991008665,2.7468905783320348,2.737428885296833
